ID,Activity,Time stamp,Feed back
1,開始,2025-04-01 07:44:57.703520,
2,終了,2025-04-01 07:53:44.943689,"プロゲートPython,SQL"
3,開始,2025-04-02 07:34:23.357451,
4,終了,2025-04-02 07:50:52.390064,Python Test
5,開始,2025-04-04 07:43:40.405175,
6,終了,2025-04-04 07:49:55.897454,SQL
7,開始,2025-04-06 08:23:24.414246,
8,終了,2025-04-06 08:27:14.046310,ITパスポート
9,開始,2025-04-06 08:30:18.010683,
10,終了,2025-04-06 09:03:18.003667,"Python,SQL"
11,開始,2025-04-07 04:36:19.457177,
12,終了,2025-04-07 05:26:49.269577,"SQL,docker"
13,開始,2025-04-07 07:26:04.400941,
15,終了,2025-04-07 07:39:01.316659,ITパスポート
15,開始,2025-04-07 07:40:29.858549,
16,終了,2025-04-07 07:56:16.932557,"docker,Python"
17,開始,2025-04-08 07:31:13.155625,
18,終了,2025-04-08 07:46:56.838270,"docker,Python"
